id,Asset ID,Asset Symbol,Amount with GST,GST,Balance,Transaction type,Contract/Fund,Reference ID,Date
1208901068,14,USD,0.4939584,,89.1978496,funding,BTCUSD,,2025-10-06 05:45:14.105587+05:30 IST Asia/Kolkata
1208898154,14,USD,-2.915839,-0.444789,88.7038912,commission,BTCUSD,,2025-10-06 05:45:03.161237+05:30 IST Asia/Kolkata
1208898153,14,USD,-16.7,,91.6197302,cashflow,BTCUSD,,2025-10-06 05:45:03.161193+05:30 IST Asia/Kolkata
1208833116,14,USD,-1.1623944,-0.1773144,108.3197302,commission,BTCUSD,,2025-10-06 03:53:31.174610+05:30 IST Asia/Kolkata
1202055133,14,USD,-2.6347925,-0.4019175,109.4821246,commission,ETHUSD,,2025-10-03 19:28:58.762835+05:30 IST Asia/Kolkata
1202055132,14,USD,-19.25,,112.1169171,cashflow,ETHUSD,,2025-10-03 19:28:58.762787+05:30 IST Asia/Kolkata
1202019292,14,USD,-1.05846,-0.16146,131.3669171,commission,ETHUSD,,2025-10-03 19:10:32.028043+05:30 IST Asia/Kolkata
1199414372,14,USD,-3.884796,-0.592596,132.4253771,commission,ETHUSD,,2025-10-02 20:13:24.097646+05:30 IST Asia/Kolkata
1199414367,14,USD,-30.95,,136.3101731,cashflow,ETHUSD,,2025-10-02 20:13:24.097603+05:30 IST Asia/Kolkata
1199368424,14,USD,-0.5204744,-0.0793944,167.2601731,commission,ETHUSD,,2025-10-02 19:55:24.035632+05:30 IST Asia/Kolkata
1199303737,14,USD,-2.6018705,-0.3968955,167.7806475,commission,ETHUSD,,2025-10-02 19:26:41.151616+05:30 IST Asia/Kolkata
1197482850,14,USD,-11.6,,170.382518,cashflow,BTCUSD,,2025-10-02 01:11:19.648821+05:30 IST Asia/Kolkata
1197467733,14,USD,-2.216512,-0.338112,181.982518,commission,BTCUSD,,2025-10-02 00:58:10.578369+05:30 IST Asia/Kolkata
1182789166,14,USD,-18.48,,184.19903,cashflow,BTCUSD,,2025-09-25 18:31:54.094329+05:30 IST Asia/Kolkata
1182765540,14,USD,-2.0996448,-0.3202848,202.67903,commission,BTCUSD,,2025-09-25 18:20:29.885250+05:30 IST Asia/Kolkata
1177981905,14,USD,-4.64998765,-0.70932015,204.7786748,commission,BTCUSD,,2025-09-23 20:05:26.811778+05:30 IST Asia/Kolkata
1177981900,14,USD,-27.965,,209.42866245,cashflow,BTCUSD,,2025-09-23 20:05:26.811731+05:30 IST Asia/Kolkata
1177938079,14,USD,-1.62660404,-0.24812604,237.39366245,commission,BTCUSD,,2025-09-23 19:44:12.809774+05:30 IST Asia/Kolkata
1177937728,14,USD,-0.1333282,-0.0203382,239.02026649,commission,BTCUSD,,2025-09-23 19:44:01.546630+05:30 IST Asia/Kolkata
1177937689,14,USD,-0.02666564,-0.00406764,239.15359469,commission,BTCUSD,,2025-09-23 19:44:00.997118+05:30 IST Asia/Kolkata
1177937679,14,USD,-0.07999692,-0.01220292,239.18026033,commission,BTCUSD,,2025-09-23 19:44:00.425886+05:30 IST Asia/Kolkata
1175772972,14,USD,-2.6658914,-0.4066614,239.26025725,commission,BTCUSD,,2025-09-22 19:28:06.104322+05:30 IST Asia/Kolkata
1175772971,14,USD,-3.66,,241.92614865,cashflow,BTCUSD,,2025-09-22 19:28:06.104285+05:30 IST Asia/Kolkata
1175684230,14,USD,-0.63929568,-0.09751968,245.58614865,commission,BTCUSD,,2025-09-22 18:46:29.052103+05:30 IST Asia/Kolkata
1175684011,14,USD,-0.3995598,-0.0609498,246.22544433,commission,BTCUSD,,2025-09-22 18:46:20.779073+05:30 IST Asia/Kolkata
1175683959,14,USD,-0.02663732,-0.00406332,246.62500413,commission,BTCUSD,,2025-09-22 18:46:18.792330+05:30 IST Asia/Kolkata
1173722327,14,USD,-4.755695,-0.725445,246.65164145,commission,BTCUSD,,2025-09-22 03:51:25.906244+05:30 IST Asia/Kolkata
1173722325,14,USD,-21,,251.40733645,cashflow,BTCUSD,,2025-09-22 03:51:25.906205+05:30 IST Asia/Kolkata
1173621676,14,USD,-1.907234,-0.290934,272.40733645,commission,BTCUSD,,2025-09-22 00:35:12.984897+05:30 IST Asia/Kolkata
1157899026,14,USD,-3.73802908,-0.57020783,274.31457045,commission,BTCUSD,,2025-09-15 14:17:24.123564+05:30 IST Asia/Kolkata
1157899024,14,USD,-21.8075,,278.05259953,cashflow,BTCUSD,,2025-09-15 14:17:24.123466+05:30 IST Asia/Kolkata
1157738480,14,USD,-1.5003582,-0.2288682,299.86009953,commission,BTCUSD,,2025-09-15 13:32:18.907543+05:30 IST Asia/Kolkata
1149895549,14,USD,-5.4371096,-0.8293896,301.36045773,commission,BTCUSD,,2025-09-12 19:26:05.413716+05:30 IST Asia/Kolkata
1149895546,14,USD,-20.24,,306.79756733,cashflow,BTCUSD,,2025-09-12 19:26:05.413671+05:30 IST Asia/Kolkata
1149845791,14,USD,-2.1700672,-0.3310272,327.03756733,commission,BTCUSD,,2025-09-12 19:02:36.651281+05:30 IST Asia/Kolkata
1147364413,14,USD,-22.225,,329.20763453,cashflow,BTCUSD,,2025-09-11 19:46:48.950874+05:30 IST Asia/Kolkata
1147322690,14,USD,-1.34992,-0.20592,351.43263453,commission,BTCUSD,,2025-09-11 19:31:51.149842+05:30 IST Asia/Kolkata
1144437410,14,USD,-2.6906478,-0.4104378,352.78255453,commission,BTCUSD,,2025-09-10 19:46:58.900802+05:30 IST Asia/Kolkata
1144437409,14,USD,6.42,,355.47320233,cashflow,BTCUSD,,2025-09-10 19:46:58.900761+05:30 IST Asia/Kolkata
1144353081,14,USD,-1.074744,-0.163944,349.05320233,commission,BTCUSD,,2025-09-10 19:23:30.496398+05:30 IST Asia/Kolkata
1105925786,14,USD,-0.03163673,,350.12794633,funding,BTCUSD,,2025-09-02 02:57:49.451135+05:30 IST Asia/Kolkata
1105925785,14,USD,-1.275521,-0.194571,350.15958306,commission,BTCUSD,,2025-09-02 02:57:49.284062+05:30 IST Asia/Kolkata
1105925784,14,USD,-23.275,,351.43510406,cashflow,BTCUSD,,2025-09-02 02:57:49.283994+05:30 IST Asia/Kolkata
1105817236,14,USD,-0.06808147,,374.71010406,funding,BTCUSD,,2025-09-02 02:31:33.014455+05:30 IST Asia/Kolkata
1105605249,14,USD,-0.06826351,,374.77818553,funding,BTCUSD,,2025-09-02 01:31:33.004452+05:30 IST Asia/Kolkata
1105437223,14,USD,-0.06818131,,374.84644904,funding,BTCUSD,,2025-09-02 00:31:33.006303+05:30 IST Asia/Kolkata
1105232901,14,USD,-0.06794345,,374.91463035,funding,BTCUSD,,2025-09-01 23:31:33.014158+05:30 IST Asia/Kolkata
1104953129,14,USD,-0.06805626,,374.9825738,funding,BTCUSD,,2025-09-01 22:31:33.029017+05:30 IST Asia/Kolkata
1104702636,14,USD,-0.06803752,,375.05063006,funding,BTCUSD,,2025-09-01 21:31:33.009074+05:30 IST Asia/Kolkata
1104409324,14,USD,-0.06816876,,375.11866758,funding,BTCUSD,,2025-09-01 20:31:33.013089+05:30 IST Asia/Kolkata
1104173249,14,USD,-0.06825327,,375.18683634,funding,BTCUSD,,2025-09-01 19:31:33.005772+05:30 IST Asia/Kolkata
1103900939,14,USD,-0.06808066,,375.25508961,funding,BTCUSD,,2025-09-01 18:31:33.025276+05:30 IST Asia/Kolkata
1103688955,14,USD,-0.01924486,,375.32317027,funding,BTCUSD,,2025-09-01 17:31:33.015197+05:30 IST Asia/Kolkata
1103624580,14,USD,-1.2810139,-0.195409,375.34241513,commission,BTCUSD,,2025-09-01 17:12:58.098839+05:30 IST Asia/Kolkata
807166599,14,USD,-7.89482688,-1.204296,376.62342903,commission,BTCUSD,,2025-06-26 18:01:30.575966+05:30 IST Asia/Kolkata
807166598,14,USD,-29.1,,384.51825591,cashflow,BTCUSD,,2025-06-26 18:01:30.575910+05:30 IST Asia/Kolkata
807166597,14,USD,-0.08872966,,413.61825591,funding,BTCUSD,,2025-06-26 18:01:30.573650+05:30 IST Asia/Kolkata
807054663,14,USD,-0.13410132,,413.70698557,funding,BTCUSD,,2025-06-26 17:31:33.026801+05:30 IST Asia/Kolkata
807046239,14,USD,-0.63283695,-0.096534,413.84108689,commission,BTCUSD,,2025-06-26 17:30:34.006437+05:30 IST Asia/Kolkata
806903325,14,USD,-0.08498676,,414.47392384,funding,BTCUSD,,2025-06-26 16:31:33.005837+05:30 IST Asia/Kolkata
806853646,14,USD,-2.15216719,-0.328297,414.5589106,commission,BTCUSD,,2025-06-26 15:51:44.116648+05:30 IST Asia/Kolkata
806853630,14,USD,-0.37979421,-0.057935,416.71107779,commission,BTCUSD,,2025-06-26 15:51:42.590611+05:30 IST Asia/Kolkata
760980559,14,USD,-1.8633321,-0.284237,417.090872,commission,BTCUSD,,2025-06-13 20:40:15.571525+05:30 IST Asia/Kolkata
760980557,14,USD,-29.725,,418.9542041,cashflow,BTCUSD,,2025-06-13 20:40:15.571482+05:30 IST Asia/Kolkata
760980556,14,USD,0.01598695,,448.6792041,funding,BTCUSD,,2025-06-13 20:40:15.556791+05:30 IST Asia/Kolkata
760889746,14,USD,0.08650603,,448.66321715,funding,BTCUSD,,2025-06-13 20:31:33.006280+05:30 IST Asia/Kolkata
760655082,14,USD,0.05882971,,448.57671112,funding,BTCUSD,,2025-06-13 19:31:33.010205+05:30 IST Asia/Kolkata
760635180,14,USD,-0.618202,-0.094302,448.51788141,commission,BTCUSD,,2025-06-13 19:27:18.016930+05:30 IST Asia/Kolkata
760476588,14,USD,0.0096458,,449.13608341,funding,BTCUSD,,2025-06-13 18:31:33.005686+05:30 IST Asia/Kolkata
