Time,Contract,Fill Type,Filled Qty,Exec.Price,Value,Fill ID,Side,Fee rate,Rebate,Fees paid,Order Type,Order Price,Order Qty,Unfilled Qty,Order ID,Client Order ID
2025-10-06 05:45:01.843973+05:30 IST Asia/Kolkata,BTCUSD,normal,40,123552.5,4942.1,1886dc2c63bb45238e8fc37a00727936,buy,0.0005,0,2.915839,market_order,129640,40,0,975698507,
2025-10-06 03:53:31.151640+05:30 IST Asia/Kolkata,BTCUSD,normal,40,123135,4925.4,1b98c037253d4076beba28a0c4bcf249,sell,0.0002,0,1.1623944,limit_order,123135,40,0,975607000,
2025-10-03 19:28:57.551317+05:30 IST Asia/Kolkata,ETHUSD,normal,100,4465.75,4465.75,f01df1cd41ae4299a682458111802d29,sell,0.0005,0,2.6347925,market_order,4244.05,100,0,969849505,
2025-10-03 19:10:31.992664+05:30 IST Asia/Kolkata,ETHUSD,normal,100,4485,4485,126e3934e1dc4547bde059edf830be74,buy,0.0002,0,1.05846,limit_order,4485,100,0,969814396,
2025-10-02 20:13:21.369221+05:30 IST Asia/Kolkata,ETHUSD,normal,150,4389.6,6584.4,d343c5aff3af4a4db995d66dbb981538,sell,0.0005,0,3.884796,market_order,4173.9,150,0,967338050,
2025-10-02 19:55:23.821422+05:30 IST Asia/Kolkata,ETHUSD,normal,50,4410.8,2205.4,136b536b0f344bcfa240a786b2dd9946,buy,0.0002,0,0.5204744,limit_order,4410.8,50,0,967395967,
2025-10-02 19:26:40.335624+05:30 IST Asia/Kolkata,ETHUSD,normal,100,4409.95,4409.95,f045c8fff7f648a5941658de3d058b79,buy,0.0005,0,2.6018705,limit_order,4411,100,0,967337623,
2025-10-02 01:11:19.636776+05:30 IST Asia/Kolkata,BTCUSD,normal,80,117545,9403.6,20a62e1c94c3403d82e9e36c7d305cae,buy,0.0005,0,0,market_order,123412,80,0,965715489,
2025-10-02 00:58:10.557883+05:30 IST Asia/Kolkata,BTCUSD,normal,80,1.174E+5,9392,bb036ba8feaf496b9848fecf11b8d545,sell,0.0002,0,2.216512,limit_order,117400,80,0,965700246,
2025-09-25 18:31:54.032549+05:30 IST Asia/Kolkata,BTCUSD,normal,80,110979,8878.32,6f2f36a3c40b416194ca123f573cfd0c,sell,0.0005,0,0,market_order,105453.5,80,0,952345933,
2025-09-25 18:20:29.731525+05:30 IST Asia/Kolkata,BTCUSD,normal,80,1.1121E+5,8896.8,926438632e7a46669ddcaa54bca40c41,buy,0.0002,0,2.0996448,limit_order,111210,80,0,952345589,
2025-09-23 20:05:26.766584+05:30 IST Asia/Kolkata,BTCUSD,normal,70,112590.5,7881.335,2963e0403b834f139a08053aed27b7e3,sell,0.0005,0,4.64998765,market_order,106988,70,0,948275793,
