# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Time,Contract,Qty,Side,Filled/Remaining,Exec.Price,Order Price,Stop Price,Order Value,Trading Fees,Cashflow,Realised P&L,Order Type,Status,Explanation,Client Order ID,Order ID
2025-03-31 20:39:40.812947+05:30 IST Asia/Kolkata,BTCUSD,80,sell,80/0,83388.2125,79219,,6671.057,3.93592363,79.057,79.057,market_order,closed,,,356105161
2025-03-31 20:39:41.035254+05:30 IST Asia/Kolkata,BTCUSD,46,sell,0/46,,8.422E+4,8.42E+4,,0,,,limit_order,cancelled,position_closed,,355954717
2025-03-31 20:39:40.994114+05:30 IST Asia/Kolkata,BTCUSD,46,sell,0/46,,8.221E+4,8.222E+4,,0,,,limit_order,cancelled,position_closed,,355954716
2025-03-31 19:29:22.096510+05:30 IST Asia/Kolkata,BTCUSD,80,buy,80/0,8.24E+4,8.24E+4,,6592,1.555712,0,0,limit_order,closed,,,355950797
2025-03-27 20:11:36.726103+05:30 IST Asia/Kolkata,BTCUSD,70,buy,0/70,,8.493E+4,8.495E+4,,0,,,limit_order,cancelled,position_closed,,350315965
2025-03-27 20:11:36.586004+05:30 IST Asia/Kolkata,BTCUSD,70,buy,70/0,8.695E+4,8.695E+4,86925,6086.5,1.436414,-36.75,-36.75,limit_order,closed,,,350315964
2025-03-27 19:28:06.306954+05:30 IST Asia/Kolkata,BTCUSD,70,sell,70/0,86425,86425,,6049.75,1.427741,0,0,limit_order,closed,,,350306896
2025-03-25 03:45:08.554628+05:30 IST Asia/Kolkata,BTCUSD,80,sell,0/80,,89245,89225,,0,,,limit_order,cancelled,position_closed,,347252252
2025-03-25 03:45:08.455485+05:30 IST Asia/Kolkata,BTCUSD,80,sell,80/0,87690.5,87685,8.77E+4,7015.24,4.1389916,-29.96,-29.96,limit_order,closed,,,347252251
2025-03-25 03:02:45.062878+05:30 IST Asia/Kolkata,BTCUSD,80,buy,80/0,88065,88065,,7045.2,1.6626672,0,0,limit_order,closed,,,347251583
2025-03-24 16:05:56.301398+05:30 IST Asia/Kolkata,BTCUSD,70,buy,0/70,,8.6E+4,8.6E+4,,0,,,limit_order,cancelled,position_closed,,346577725
2025-03-24 16:05:56.155104+05:30 IST Asia/Kolkata,BTCUSD,70,buy,70/0,87524,87535,87519,6126.68,3.6147412,-27.58,-27.58,limit_order,closed,,,346577724
2025-03-24 15:30:47.292866+05:30 IST Asia/Kolkata,BTCUSD,70,sell,70/0,8.713E+4,8.713E+4,,6099.1,1.4393876,0,0,limit_order,closed,,,346575985
2025-03-24 15:29:27.766999+05:30 IST Asia/Kolkata,BTCUSD,70,sell,0/70,,8.712E+4,,,0,,,limit_order,cancelled,immediate_execution_post_only,,346575762
2025-03-20 20:05:32.534501+05:30 IST Asia/Kolkata,BTCUSD,70,buy,0/70,,8.595E+4,,,0,,,limit_order,cancelled,cancelled_by_user,,342726669
2025-03-19 18:47:46.127381+05:30 IST Asia/Kolkata,BTCUSD,70,buy,0/70,,8.26E+4,8.26E+4,,0,,,limit_order,cancelled,position_closed,,341265057
2025-03-19 18:47:45.992349+05:30 IST Asia/Kolkata,BTCUSD,70,buy,70/0,84225,84225,84225,5895.75,0,-29.75,-29.75,limit_order,closed,,,341265056
2025-03-19 18:35:45.223597+05:30 IST Asia/Kolkata,BTCUSD,70,sell,70/0,8.38E+4,8.38E+4,,5866,1.384376,0,0,limit_order,closed,,,341258652
2025-03-18 10:18:57.363401+05:30 IST Asia/Kolkata,BTCUSD,60,sell,0/60,,84875,84895,,0,,,limit_order,cancelled,position_closed,,339075837
